epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4977,5.37432,20.0535,4.4367,0,0,0,0,6.11049,13.3107,4.17941,0.00048,0.00048,0.00048
2,33.4534,4.08598,10.118,4.13469,0,0,0,0,6.12933,13.6528,4.2416,0.000960596,0.000960596,0.000960596
3,49.7433,2.85084,4.30896,2.94315,0,0,0,0,6.01221,10.5136,4.30981,0.00142139,0.00142139,0.00142139
4,66.0339,2.55894,3.10467,2.19251,0.00334,0.8,0.1121,0.03216,2.57346,4.46359,2.39804,0.00186239,0.00186239,0.00186239
5,83.0972,2.35616,2.53032,1.95816,0.30265,0.6625,0.48119,0.17664,2.01829,2.45128,1.8259,0.0018416,0.0018416,0.0018416
6,100.203,2.29013,2.12264,1.82931,0.67967,0.7875,0.76403,0.37577,1.81802,1.72627,1.58233,0.001802,0.001802,0.001802
7,116.919,2.17375,1.89491,1.70902,0.86493,0.725,0.85292,0.40791,1.80663,1.54766,1.53838,0.0017624,0.0017624,0.0017624
8,137.049,2.1194,1.74465,1.58234,0.84142,0.875,0.89303,0.48478,1.62398,1.21446,1.39792,0.0017228,0.0017228,0.0017228
9,153.781,1.95595,1.52335,1.53454,0.83562,0.88966,0.92755,0.48514,1.53103,1.42946,1.3329,0.0016832,0.0016832,0.0016832
10,170.402,1.98307,1.46552,1.53764,0.86933,0.85,0.91494,0.40315,1.9412,1.13053,1.48825,0.0016436,0.0016436,0.0016436
11,186.822,1.84533,1.30526,1.39636,0.91004,0.925,0.95209,0.51734,1.63649,0.93839,1.30668,0.001604,0.001604,0.001604
12,203.639,1.85812,1.28028,1.44282,0.89597,0.9375,0.97582,0.54811,1.54164,1.06157,1.30907,0.0015644,0.0015644,0.0015644
13,220.321,1.76844,1.25813,1.41473,0.84083,0.9625,0.94062,0.54096,1.43174,0.8902,1.24678,0.0015248,0.0015248,0.0015248
14,237.05,1.70716,1.14016,1.29524,0.89131,0.875,0.93165,0.48162,1.70593,0.93907,1.31722,0.0014852,0.0014852,0.0014852
15,253.905,1.69155,1.08687,1.30906,0.95173,0.98589,0.99085,0.61068,1.37458,0.82804,1.18417,0.0014456,0.0014456,0.0014456
16,272.421,1.68946,1.02508,1.31246,0.98216,0.95,0.99087,0.58891,1.39229,0.81497,1.16989,0.001406,0.001406,0.001406
17,289.271,1.6443,1.01251,1.27732,0.96168,0.9875,0.98903,0.63911,1.33666,0.79753,1.18642,0.0013664,0.0013664,0.0013664
18,307.565,1.61865,1.01214,1.26186,0.96903,0.9625,0.98675,0.59625,1.3512,0.81593,1.17781,0.0013268,0.0013268,0.0013268
19,324.434,1.58015,0.97265,1.27883,0.94908,0.9319,0.98177,0.5867,1.36922,0.77427,1.18685,0.0012872,0.0012872,0.0012872
20,341.192,1.57191,0.96154,1.27399,0.94934,0.93704,0.98373,0.6399,1.40414,0.73428,1.18691,0.0012476,0.0012476,0.0012476
21,357.956,1.57228,0.93114,1.2738,0.9849,1,0.99488,0.6027,1.43816,0.77653,1.16603,0.001208,0.001208,0.001208
22,374.76,1.43796,0.91104,1.20074,0.97526,0.98541,0.99363,0.62914,1.24032,0.81151,1.10535,0.0011684,0.0011684,0.0011684
23,391.326,1.49701,0.89167,1.22924,0.98293,0.9875,0.99379,0.6271,1.41421,0.74718,1.12773,0.0011288,0.0011288,0.0011288
24,407.89,1.49387,0.87519,1.23701,0.99953,1,0.995,0.69586,1.2165,0.68695,1.08666,0.0010892,0.0010892,0.0010892
25,425.089,1.46368,0.8394,1.19931,0.95231,0.99848,0.99187,0.64721,1.22527,0.68956,1.1182,0.0010496,0.0010496,0.0010496
26,441.856,1.38482,0.80358,1.14173,0.98709,1,0.995,0.6625,1.21903,0.68177,1.10376,0.00101,0.00101,0.00101
27,458.305,1.40732,0.79478,1.17212,0.99859,1,0.995,0.6852,1.14472,0.63849,1.06533,0.0009704,0.0009704,0.0009704
28,474.812,1.34833,0.79161,1.16654,1,0.99658,0.995,0.67238,1.18806,0.67721,1.0737,0.0009308,0.0009308,0.0009308
29,491.275,1.3662,0.76958,1.15155,0.98733,1,0.99488,0.68798,1.11778,0.66898,1.0456,0.0008912,0.0008912,0.0008912
30,507.748,1.33731,0.77007,1.13351,0.97544,0.9625,0.99119,0.65241,1.1914,0.65477,1.07384,0.0008516,0.0008516,0.0008516
31,524.193,1.32297,0.73484,1.13454,0.98752,0.98933,0.99488,0.69396,1.12835,0.62545,1.04063,0.000812,0.000812,0.000812
32,540.695,1.29756,0.71876,1.10566,0.98765,0.99987,0.99488,0.70925,1.09361,0.605,1.04279,0.0007724,0.0007724,0.0007724
33,557.331,1.27967,0.73248,1.12029,0.9961,0.9875,0.99488,0.6405,1.27066,0.64436,1.09197,0.0007328,0.0007328,0.0007328
34,573.767,1.31828,0.73075,1.17167,0.98362,0.9875,0.99057,0.6467,1.21257,0.6219,1.07479,0.0006932,0.0006932,0.0006932
35,590.245,1.2561,0.70131,1.09534,0.9657,0.9875,0.9934,0.68213,1.16327,0.62123,1.06881,0.0006536,0.0006536,0.0006536
36,606.729,1.27599,0.6919,1.12356,1,0.99896,0.995,0.70111,1.11104,0.57998,1.0282,0.000614,0.000614,0.000614
37,623.245,1.26033,0.68201,1.12225,0.98605,1,0.99488,0.70188,1.16525,0.58529,1.05329,0.0005744,0.0005744,0.0005744
