epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7424,1.68534,3.9184,1.18263,0.00333,1,0.00517,0.00287,1.38077,4.3742,1.03123,0.00048,0.00048,0.00048
2,20.7837,1.4441,2.45678,1.11093,0.00308,0.925,0.00344,0.00149,1.28245,4.20997,1.05342,0.000970298,0.000970298,0.000970298
3,29.8416,1.46482,2.07074,1.09949,0.00333,1,0.29762,0.20161,1.2903,3.6647,1.1037,0.0014507,0.0014507,0.0014507
4,38.9131,1.38215,1.74791,1.13779,0.966,0.35524,0.63394,0.37238,1.34628,3.28178,1.1175,0.00192119,0.00192119,0.00192119
5,48.0718,1.36075,1.64979,1.13234,0.96163,0.975,0.98201,0.67562,1.18079,1.28586,1.04297,0.0019208,0.0019208,0.0019208
6,57.2355,1.29912,1.40723,1.10504,0.95982,0.89593,0.95472,0.65981,1.17912,1.2134,1.07449,0.001901,0.001901,0.001901
7,66.5791,1.30636,1.23528,1.10673,0.96201,0.9497,0.98168,0.6262,1.23385,1.09262,1.08471,0.0018812,0.0018812,0.0018812
8,76.0473,1.26861,1.14164,1.05149,0.9985,1,0.995,0.69297,1.15397,0.7646,1.03982,0.0018614,0.0018614,0.0018614
9,85.538,1.25993,1.05993,1.07424,0.96371,0.99575,0.99414,0.69879,1.03162,0.69121,0.96682,0.0018416,0.0018416,0.0018416
10,94.7293,1.20566,0.96222,1.05451,1,0.98602,0.99464,0.64601,1.17843,0.7469,1.03078,0.0018218,0.0018218,0.0018218
11,103.882,1.18632,0.88339,1.0219,0.98761,0.99651,0.99488,0.64581,1.24282,0.7246,1.08594,0.001802,0.001802,0.001802
12,113.075,1.20293,0.86874,1.06099,0.97557,0.99832,0.98716,0.65408,1.19721,0.67979,1.04958,0.0017822,0.0017822,0.0017822
13,122.333,1.17809,0.84903,1.05527,0.99529,0.975,0.9896,0.6885,1.13786,0.68278,1.0108,0.0017624,0.0017624,0.0017624
14,131.586,1.14776,0.75243,1.00079,0.98552,1,0.99068,0.63076,1.31057,0.62561,1.08643,0.0017426,0.0017426,0.0017426
15,141.183,1.18378,0.76586,1.03121,0.98724,1,0.995,0.64962,1.21276,0.61244,1.03432,0.0017228,0.0017228,0.0017228
16,150.379,1.1919,0.73423,1.04267,0.99676,1,0.995,0.71396,1.04825,0.60079,0.98618,0.001703,0.001703,0.001703
17,159.599,1.16314,0.70927,1.01691,0.99807,1,0.995,0.71945,1.04688,0.59117,0.96961,0.0016832,0.0016832,0.0016832
18,168.846,1.12628,0.69641,0.99116,0.99651,1,0.995,0.72306,1.07167,0.68912,0.98177,0.0016634,0.0016634,0.0016634
19,178.275,1.09922,0.67396,1.02217,0.97135,1,0.99451,0.7047,1.06611,0.59099,0.99129,0.0016436,0.0016436,0.0016436
20,187.62,1.13748,0.68916,1.02849,0.97412,1,0.99439,0.71129,1.12382,0.56158,1.01887,0.0016238,0.0016238,0.0016238
21,196.711,1.10899,0.66726,1.02782,0.98696,1,0.995,0.73199,1.01268,0.55874,0.96958,0.001604,0.001604,0.001604
22,205.83,1.09999,0.6628,1.01807,0.99966,1,0.995,0.69919,1.15948,0.56296,1.0166,0.0015842,0.0015842,0.0015842
23,215.156,1.09977,0.63698,1.00887,0.99417,1,0.995,0.70782,1.10299,0.54583,0.98703,0.0015644,0.0015644,0.0015644
24,224.152,1.06671,0.62337,1.01505,0.98436,0.975,0.99379,0.74495,1.01414,0.52956,0.97705,0.0015446,0.0015446,0.0015446
25,232.938,1.07227,0.65036,0.9913,0.99755,1,0.995,0.69592,1.09161,0.53003,0.99616,0.0015248,0.0015248,0.0015248
26,241.593,1.04349,0.60576,0.96811,0.99756,1,0.995,0.7498,0.98461,0.5148,0.96764,0.001505,0.001505,0.001505
27,250.285,1.06945,0.60199,0.99848,0.99923,1,0.995,0.74814,1.00437,0.49944,0.97012,0.0014852,0.0014852,0.0014852
28,258.913,1.00709,0.58589,0.98396,0.99841,1,0.995,0.69648,1.17265,0.53514,1.0033,0.0014654,0.0014654,0.0014654
29,267.617,1.03424,0.592,0.99127,0.99767,1,0.995,0.68223,1.12293,0.51453,0.99584,0.0014456,0.0014456,0.0014456
30,276.944,1.04081,0.58978,0.99174,0.99887,1,0.995,0.70788,1.07457,0.51372,0.98044,0.0014258,0.0014258,0.0014258
31,286.024,0.98664,0.55032,0.98175,0.99873,1,0.995,0.71998,1.08385,0.49782,0.982,0.001406,0.001406,0.001406
32,295.227,1.01301,0.55856,0.96324,0.99616,1,0.995,0.75384,0.97146,0.49259,0.96129,0.0013862,0.0013862,0.0013862
33,304.923,1.02517,0.59113,0.96882,0.99892,1,0.995,0.75655,0.98656,0.47863,0.97369,0.0013664,0.0013664,0.0013664
34,314.164,1.00892,0.58064,0.99101,0.99902,1,0.995,0.74568,1.0442,0.50197,0.98376,0.0013466,0.0013466,0.0013466
35,323.327,0.98109,0.54251,0.95463,0.99932,1,0.995,0.7297,1.07184,0.48855,0.98323,0.0013268,0.0013268,0.0013268
36,332.519,0.99815,0.52389,0.98361,0.99902,1,0.995,0.74918,1.02292,0.48451,0.95806,0.001307,0.001307,0.001307
37,341.854,0.98448,0.53259,0.97836,0.99837,1,0.995,0.73672,1.01454,0.49283,0.95365,0.0012872,0.0012872,0.0012872
38,351.22,0.99937,0.54158,0.95936,0.99874,1,0.995,0.72446,1.03254,0.49239,0.96341,0.0012674,0.0012674,0.0012674
39,360.365,1.00434,0.54161,0.95355,0.99828,1,0.995,0.74227,1.01848,0.4912,0.96211,0.0012476,0.0012476,0.0012476
40,369.66,0.97321,0.54011,0.9722,0.99864,1,0.995,0.7503,0.96368,0.47689,0.9588,0.0012278,0.0012278,0.0012278
41,378.757,0.96378,0.51649,0.94916,0.99903,1,0.995,0.77066,0.94523,0.46098,0.94552,0.001208,0.001208,0.001208
42,387.969,0.95557,0.52239,0.95822,0.97366,1,0.99388,0.76398,0.92229,0.45713,0.94939,0.0011882,0.0011882,0.0011882
43,397.115,0.96375,0.52549,0.97231,0.99798,1,0.995,0.71579,1.02556,0.50034,0.97922,0.0011684,0.0011684,0.0011684
44,406.097,0.93943,0.51849,0.94558,0.99846,1,0.995,0.71259,1.13243,0.49894,1.0071,0.0011486,0.0011486,0.0011486
45,415.061,0.88714,0.48525,0.9092,0.99738,1,0.995,0.75632,1.0151,0.48084,0.97268,0.0011288,0.0011288,0.0011288
46,424.073,0.97782,0.51217,0.96106,0.9983,1,0.995,0.73999,0.97706,0.48517,0.96513,0.001109,0.001109,0.001109
47,433.184,0.92294,0.48226,0.95017,0.99843,1,0.995,0.76588,0.94127,0.46361,0.94533,0.0010892,0.0010892,0.0010892
48,442.315,0.93596,0.49859,0.95166,0.99909,1,0.995,0.74649,0.99304,0.47613,0.94692,0.0010694,0.0010694,0.0010694
49,451.314,0.98923,0.51645,0.96503,0.99879,1,0.995,0.75761,0.99953,0.45987,0.95136,0.0010496,0.0010496,0.0010496
50,460.253,0.96639,0.50235,0.93077,0.99844,1,0.995,0.73644,1.0266,0.45639,0.963,0.0010298,0.0010298,0.0010298
51,469.297,0.93017,0.49796,0.93752,0.98666,1,0.99426,0.77276,0.92903,0.44177,0.93725,0.00101,0.00101,0.00101
52,478.339,0.85944,0.46269,0.91354,0.98738,1,0.99475,0.76016,0.99752,0.44602,0.94489,0.0009902,0.0009902,0.0009902
53,487.29,0.87624,0.47062,0.92508,0.98765,0.99961,0.99463,0.73045,1.0268,0.45796,0.95733,0.0009704,0.0009704,0.0009704
54,496.266,0.88125,0.46798,0.93056,0.9975,1,0.995,0.74523,0.99759,0.4497,0.95176,0.0009506,0.0009506,0.0009506
55,505.238,0.87484,0.46206,0.92262,0.98671,1,0.99426,0.79172,0.83214,0.43036,0.91519,0.0009308,0.0009308,0.0009308
56,514.314,0.90099,0.46575,0.91988,0.99901,1,0.995,0.79773,0.84529,0.42649,0.91453,0.000911,0.000911,0.000911
57,523.486,0.87319,0.45948,0.93539,0.99601,1,0.995,0.78673,0.88707,0.41933,0.92844,0.0008912,0.0008912,0.0008912
